layer_name,layer_idx,sublayer,variant,dac_bits,EZR_mean,QZR_all_mean,QZR_nonzero_mean,ODR_mean,cosine_sim,ratio_q50,ratio_q90,ratio_q99,EZR_pad_mean,QZR_all_pad_mean,CCR
bert.encoder.layer.0.attention.self.key,0,K,baseline,7,5.380509833230462e-09,0.11106927961111068,0.1110692747682333,23.34720230102539,0.9994894650578499,0.05362713387235999,0.24402860067784787,0.6226729899644852,0.5570914739370346,0.6063497479259968,
bert.encoder.layer.0.attention.output.dense,0,O,baseline,7,0.10001762874424458,0.12035390302538872,0.022596305757761,6.113833262920379,0.999865662753582,0.1653617438673973,0.46267429426312445,0.7682564821839333,0.09999825838953257,0.12063135650008917,
bert.encoder.layer.0.attention.self.query,0,Q,baseline,7,4.6502975692419565e-09,0.07302011348307133,0.07302010916173458,15.812497668266296,0.9994634765386582,0.06704036142677068,0.23837035052478314,0.5776042455434799,6.357828823411182e-09,0.0898617646098137,
bert.encoder.layer.0.attention.self.value,0,V,baseline,7,0.0,0.09210848063230515,0.09210848063230515,19.791952018737792,0.9995103222131729,0.06322741366922856,0.25965958446264265,0.6278837418556213,0.557091471850872,0.5979693895578384,
bert.encoder.layer.1.attention.self.key,1,K,baseline,7,4.755600286898698e-09,0.14637915842235089,0.14637915432453155,29.92284016609192,0.9994238594174385,0.04448225062340498,0.22754358880221845,0.6012636986374855,0.5570914739370346,0.622048339098692,
bert.encoder.layer.1.attention.output.dense,1,O,baseline,7,0.09995366934686899,0.12033668901771306,0.022646624809131027,6.127017977237702,0.9998663982748985,0.16486689634621143,0.4612660332024097,0.7673278790712357,0.09996887937188148,0.1212487206980586,
bert.encoder.layer.1.attention.self.query,1,Q,baseline,7,3.967347197431081e-09,0.12169505286961795,0.12169504936784506,23.3456915473938,0.9993774652481079,0.04911486020311713,0.21320281706750394,0.5717114093899727,8.477105097881576e-09,0.12895379293709994,
bert.encoder.layer.1.attention.self.value,1,V,baseline,7,4.5054787278786535e-09,0.1283132603764534,0.12831325642764568,26.2393016910553,0.9994292405247688,0.05150376740843057,0.2394994667172432,0.6120685082674027,0.5570914742350578,0.6140122449398041,
bert.encoder.layer.2.attention.self.key,2,K,baseline,7,9.381892880355736e-09,0.18093090452253818,0.18093089692294598,33.7381001663208,0.9994279724359513,0.04063646759837866,0.22249286875128746,0.5993370887637138,0.5570914766192436,0.6378069972991943,
bert.encoder.layer.2.attention.output.dense,2,O,baseline,7,0.10002483315765857,0.12152488060295581,0.023889601118862628,6.461805257797241,0.9998498618602752,0.15751790389418602,0.44949432358145713,0.7579872789978981,0.09998628083616495,0.12471755027770996,
bert.encoder.layer.2.attention.self.query,2,Q,baseline,7,1.029685506637179e-08,0.24252946466207503,0.24252945698797704,27.703488178253174,0.9993182501196861,0.03961109098047018,0.1938261568546295,0.5273082292079926,4.238552548940788e-09,0.2056937699764967,
bert.encoder.layer.2.attention.self.value,2,V,baseline,7,4.704058369497943e-09,0.1435318698734045,0.14353186585009098,30.18717728614807,0.9995203974843025,0.04665731959044933,0.252070638909936,0.6507183891534806,0.5570914739370346,0.6208289343118668,
bert.encoder.layer.3.attention.self.key,3,K,baseline,7,4.351882694209053e-09,0.14648077316582203,0.14648076944053173,28.691860399246217,0.9994346076250076,0.04396716685965657,0.22533121325075625,0.5992220386862754,0.5570914742350578,0.6220419597625733,
bert.encoder.layer.3.attention.output.dense,3,O,baseline,7,0.10001443155109882,0.13604614034295082,0.040035934373736384,10.838575263023376,0.9995331913232803,0.1035297043249011,0.37042982786893847,0.6935163375735283,0.10000430505722761,0.13978261031210423,
bert.encoder.layer.3.attention.self.query,3,Q,baseline,7,4.873066359323275e-09,0.10011993482708931,0.10011993043124676,17.96498558998108,0.999509620666504,0.06084080001339316,0.2533943536132574,0.6183028757572174,6.357828823411182e-09,0.12560371086001396,
bert.encoder.layer.3.attention.self.value,3,V,baseline,7,3.5153436783730286e-09,0.12435129404067993,0.12435129106044769,25.45748638153076,0.9995282477140427,0.053065682277083394,0.2626102662086487,0.6521331027150155,0.5570914740860462,0.612238071411848,
bert.encoder.layer.4.attention.self.key,4,K,baseline,7,5.545499561776524e-09,0.19267080612480642,0.19267080165445805,38.37253692626953,0.999294907450676,0.03378152161836624,0.19525979846715927,0.5591822025179863,0.5570914739370346,0.6425889962911606,
bert.encoder.layer.4.attention.output.dense,4,O,baseline,7,0.09994549728929997,0.1300500051677227,0.033447458408772945,9.040894026756286,0.9996738171577454,0.1204174118489027,0.39562891602516176,0.7136789447069168,0.0999625489488244,0.1314417665451765,
